track_name,artist_name,genre,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,valence
Good as Hell (0),The Weeknd,Classical,52,0.31514703913255326,0.864962605115202,0.7502607940873155,0.006840748148363551,9,0.8429499931391071,-17.40183943955285,0.26306971383354116,145.99662778019098,0.6348361559792174
Anti-Hero (1),Taylor Swift,Dance,51,0.2762373249751531,0.2494582042932323,0.27450667350707825,0.4670178665217417,4,0.520456092139383,-24.24491656196968,0.5760808790144938,153.3460272007825,0.8869067243921759
Sunroof (2),Drake,Classical,51,0.9816533238524479,0.7171205684721935,0.6246639742837168,0.6856517492651993,8,0.8608108626867375,-19.98555264872288,0.6964377927022132,118.86560015435137,0.4262314582647643
Skinny Love (3),Drake,Country,58,0.5272651809152565,0.8561324990137434,0.08116422446371452,0.22627733414380702,11,0.005443709191690571,-8.168808898170987,0.16462724656541516,123.29675469990535,0.33227907039199667
Fix You (4),Harry Styles,Rock,42,0.9064209639144368,0.3567687116232726,0.4522024791035387,0.13180682989667936,2,0.03517463153159661,-9.922287222610553,0.1486725636961821,94.41356639893951,0.9007258101239835
Uptown Funk (5),Post Malone,Indie,31,0.1638810237804822,0.7574644454507177,0.7390914219929531,0.8870427444469619,8,0.9118215936367428,-27.84556248708253,0.4563079116581733,162.27500147651233,0.09887302887630278
Sunroof (6),The Weeknd,Pop,58,0.6428189148001743,0.29507234926430936,0.6865139430432525,0.2750247724877978,4,0.775331929885916,-7.580525232813411,0.3858125217592894,173.10590308872003,0.1171072315052778
Flowers (7),The Weeknd,Pop,81,0.8098601873605862,0.2988571352590308,0.8150721006758068,0.22361261979266478,8,0.4507060582503857,-28.40862356408915,0.7142154368573138,142.3438133694112,0.29934677648467733
Good as Hell (8),The Beatles,Hip-Hop,56,0.9473952495864468,0.10705717855418606,0.8774521266031688,0.8570969396099158,9,0.7536101314779872,-13.712208327006469,0.06950877144858625,114.36473084453985,0.9597749817663185
Wonderwall (9),Dua Lipa,Jazz,79,0.3373401410170235,0.4400580465093987,0.7731835012587582,0.8171070991667613,5,0.9556394617234216,-22.198117558734282,0.9721666237406904,95.40163253743663,0.633068609865107
As It Was (10),Ed Sheeran,Electronic,52,0.7249811699240525,0.7297119064974222,0.671587742938926,0.4483464705246336,8,0.772089523881285,-12.369296173205434,0.014276981685832357,106.5156229705315,0.5541936966153982
Good as Hell (11),Travis Scott,Rock,73,0.538813009039619,0.940220805571285,0.03172249181603115,0.4892388614277745,6,0.842371333818322,-22.160148121772945,0.6013168243361512,105.54104208518433,0.7053563363554206
Fix You (12),The Beatles,Electronic,51,0.06062892606646819,0.6037969919290961,0.534966673409444,0.21774870483402198,6,0.7606065813900618,-0.45126091122507006,0.5626325958673883,141.3527884163573,0.4174745560781662
Fix You (13),Billie Eilish,Indie,72,0.6899997373089434,0.863135537735739,0.03769772491485279,0.0783016704795575,7,0.1682110924335416,-20.708154488174046,0.13471573086972577,174.50374653636044,0.7580735014207992
Uptown Funk (14),David Bowie,Classical,66,0.6900965582378434,0.8224946492902271,0.8080678171160226,0.5734318253556611,6,0.8335741096457367,-22.74118092976512,0.1509159827135298,84.82718869579814,0.3932306979728776
